Age,EdLevel,YearsCode,Country,Currency,LanguageHaveWorkedWith,Industry,OrgSize
25-34,Secondary school,8,Israel,ILS	Israeli new shekel,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Internet, Telecomm or Information Services",20 to 99 employees
45-54,Master’s degree,35,Finland,EUR European Euro,C#;C++;PowerShell;SQL,Software Development,"10,000 or more employees"
18-24,Attended college but no degree,12,Finland,EUR European Euro,Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
45-54,Attended college but no degree,40,USA,USD	United States dollar,C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Manufacturing,"10,000 or more employees"
45-54,Master’s degree,29,Serbia,RSD	Serbian dinar,HTML/CSS;JavaScript;SQL;TypeScript,Media & Advertising Services,20 to 99 employees
35-44,Attended college but no degree,21,USA,USD	United States dollar,C#;GDScript;HTML/CSS;JavaScript;SQL;TypeScript,Energy,500 to 999 employees
25-34,Bachelor’s degree,10,India,USD	United States dollar,C;JavaScript;PHP,Software Development,20 to 99 employees
18-24,Bachelor’s degree,10,Croatia,EUR European Euro,Bash/Shell (all shells);C;C++;Java;PHP;PowerShell;Python;TypeScript,Software Development,"1,000 to 4,999 employees"
35-44,Attended college but no degree,24,Portugal,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL,Software Development,20 to 99 employees
35-44,Bachelor’s degree,15,UK and Northern Ireland,GBP	Pound sterling,Kotlin,Fintech,100 to 499 employees
18-24,Bachelor’s degree,7,USA,USD	United States dollar,Python,"Internet, Telecomm or Information Services",100 to 499 employees
25-34,Associate degree,12,Brazil,BRL	Brazilian real,Ruby,Software Development,500 to 999 employees
25-34,Bachelor’s degree,7,Brazil,BRL	Brazilian real,HTML/CSS;JavaScript;SQL;TypeScript,Banking/Financial Services,100 to 499 employees
35-44,Bachelor’s degree,27,India,INR	Indian rupee,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,4,Rwanda,RWF	Rwandan franc,HTML/CSS;TypeScript,Software Development,10 to 19 employees
18-24,Bachelor’s degree,5,Ukraine,USD	United States dollar,Go;HTML/CSS;Java;JavaScript;Python;SQL,Software Development,"10,000 or more employees"
25-34,Master’s degree,8,Ukraine,USD	United States dollar,Bash/Shell (all shells);C;C#;JavaScript;Ruby,Software Development,20 to 99 employees
18-24,Master’s degree,3,Ukraine,USD	United States dollar,JavaScript;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,5,Israel,ILS	Israeli new shekel,HTML/CSS;JavaScript;PHP;Swift;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,14,Germany,EUR European Euro,Assembly;C#;Go;PowerShell;Ruby;Rust,Software Development,10 to 19 employees
25-34,Bachelor’s degree,9,Hungary,HUF	Hungarian forint,C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,Fintech,2 to 9 employees
35-44,Professional degree,4,Spain,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Master’s degree,18,Portugal,EUR European Euro,HTML/CSS;JavaScript;PHP,Software Development,20 to 99 employees
25-34,Bachelor’s degree,19,USA,USD	United States dollar,Java;Python,Fintech,20 to 99 employees
35-44,Bachelor’s degree,29,Israel,ILS	Israeli new shekel,Bash/Shell (all shells);Python;SQL,Fintech,500 to 999 employees
25-34,Bachelor’s degree,10,Russian Federation,RUB	Russian ruble,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,Fintech,"5,000 to 9,999 employees"
35-44,Attended college but no degree,20,Portugal,EUR European Euro,HTML/CSS;JavaScript;Python;SQL,Banking/Financial Services,"1,000 to 4,999 employees"
45-54,Bachelor’s degree,32,USA,USD	United States dollar,SQL;VBA,Government,100 to 499 employees
18-24,Master’s degree,12,France,EUR European Euro,Bash/Shell (all shells);GDScript;Java;Scala,Software Development,"5,000 to 9,999 employees"
25-34,Associate degree,12,USA,USD	United States dollar,Groovy;JavaScript;Python;R;SQL,Retail and Consumer Services,"10,000 or more employees"
45-54,Master’s degree,28,Russian Federation,RUB	Russian ruble,Go;Java;Kotlin,Insurance,"10,000 or more employees"
25-34,Master’s degree,13,USA,USD	United States dollar,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Objective-C;PHP;PowerShell;Python;R;Ruby;Rust;SQL;TypeScript,Manufacturing,20 to 99 employees
35-44,Attended college but no degree,10,USA,USD	United States dollar,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),Healthcare,100 to 499 employees
35-44,Master’s degree,10,Bangladesh,BDT	Bangladeshi taka,Java;JavaScript;PHP;Python;SQL,Software Development,20 to 99 employees
25-34,Bachelor’s degree,19,"Iran, Islamic Republic of...",USD	United States dollar,Swift,Software Development,2 to 9 employees
45-54,Attended college but no degree,35,Croatia,EUR European Euro,C#;HTML/CSS;JavaScript;SQL;TypeScript,Software Development,10 to 19 employees
25-34,Bachelor’s degree,6,India,INR	Indian rupee,JavaScript;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,17,Cyprus,EUR European Euro,Python,Fintech,100 to 499 employees
25-34,Master’s degree,20,Indonesia,IDR	Indonesian rupiah,HTML/CSS;JavaScript;Python;SQL;TypeScript,Higher Education,2 to 9 employees
35-44,Master’s degree,25,Denmark,DKK	Danish krone,C;C++;Dart;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,"Internet, Telecomm or Information Services","1,000 to 4,999 employees"
45-54,Master’s degree,34,France,EUR European Euro,C#;HTML/CSS;JavaScript;SQL,Retail and Consumer Services,20 to 99 employees
25-34,Master’s degree,14,Netherlands,EUR European Euro,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Attended college but no degree,10,South Africa,ZAR	South African rand,C#;Delphi;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Attended college but no degree,20,Netherlands,EUR European Euro,C#;HTML/CSS;TypeScript,Software Development,10 to 19 employees
25-34,Bachelor’s degree,17,Japan,JPY	Japanese yen,HTML/CSS;JavaScript;Ruby;TypeScript,Healthcare,"1,000 to 4,999 employees"
35-44,Bachelor’s degree,20,USA,USD	United States dollar,C;Go;Java;JavaScript;Python;Rust;SQL,Fintech,100 to 499 employees
25-34,Master’s degree,14,Poland,PLN	Polish zloty,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Software Development,20 to 99 employees
35-44,Attended college but no degree,25,UK and Northern Ireland,GBP	Pound sterling,HTML/CSS;JavaScript;PHP;SQL,Software Development,2 to 9 employees
25-34,Master’s degree,16,Netherlands,EUR European Euro,HTML/CSS;JavaScript;Python;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Professional degree,30,USA,USD	United States dollar,Bash/Shell (all shells);C;C#;Java;Perl;PHP;SQL,Higher Education,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,9,USA,USD	United States dollar,C#;HTML/CSS;JavaScript;TypeScript,Energy,100 to 499 employees
18-24,Bachelor’s degree,12,UK and Northern Ireland,GBP	Pound sterling,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript,Government,"10,000 or more employees"
25-34,Bachelor’s degree,15,USA,USD	United States dollar,Apex;C#;Ruby,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,15,USA,USD	United States dollar,C#;JavaScript;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Secondary school,10,Poland,PLN	Polish zloty,Bash/Shell (all shells);Java;Kotlin,Software Development,100 to 499 employees
25-34,Master’s degree,9,USA,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Higher Education,"10,000 or more employees"
35-44,Master’s degree,17,USA,USD	United States dollar,HTML/CSS;JavaScript;Python;TypeScript,Software Development,"5,000 to 9,999 employees"
35-44,Bachelor’s degree,18,Bosnia and Herzegovina,BAM	Bosnia and Herzegovina convertible mark,Bash/Shell (all shells);SQL;Swift,Healthcare,100 to 499 employees
35-44,Master’s degree,10,Switzerland,CHF	Swiss franc,C#;C++;HTML/CSS;JavaScript;Python;Rust;TypeScript,Manufacturing,20 to 99 employees
35-44,Bachelor’s degree,26,USA,USD	United States dollar,C#;JavaScript;PowerShell;SQL;TypeScript,Retail and Consumer Services,100 to 499 employees
45-54,Attended college but no degree,25,Israel,ILS	Israeli new shekel,C;C++;JavaScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,10,USA,USD	United States dollar,Bash/Shell (all shells);C;Go;HTML/CSS;Objective-C;Python;SQL;VBA,Computer Systems Design and Services,100 to 499 employees
18-24,Attended college but no degree,5,Poland,PLN	Polish zloty,Bash/Shell (all shells);C++;HTML/CSS;Java;Python;Rust;SQL,"Internet, Telecomm or Information Services","10,000 or more employees"
25-34,Associate degree,12,UK and Northern Ireland,GBP	Pound sterling,C#;GDScript;JavaScript;Kotlin;Python;TypeScript,Software Development,20 to 99 employees
18-24,Bachelor’s degree,6,India,INR	Indian rupee,Bash/Shell (all shells);C;C++;Go;Java;JavaScript;Python;Ruby;Rust,Software Development,"10,000 or more employees"
25-34,Master’s degree,8,Ukraine,USD	United States dollar,Swift,Media & Advertising Services,100 to 499 employees
35-44,Bachelor’s degree,21,USA,USD	United States dollar,C#;Go;Java;SQL,Banking/Financial Services,"5,000 to 9,999 employees"
35-44,Professional degree,15,USA,USD	United States dollar,Python;R;SQL,Government,500 to 999 employees
25-34,Master’s degree,15,UK and Northern Ireland,GBP	Pound sterling,C++;Go,Software Development,500 to 999 employees
45-54,Associate degree,10,USA,USD	United States dollar,C#;HTML/CSS;SQL,Higher Education,100 to 499 employees
35-44,Bachelor’s degree,18,Mexico,MXN	Mexican peso,C#;JavaScript;PowerShell;SQL;TypeScript,Manufacturing,"10,000 or more employees"
25-34,Bachelor’s degree,6,Ukraine,UAH	Ukrainian hryvnia,C#;HTML/CSS;JavaScript;Visual Basic (.Net),Software Development,"10,000 or more employees"
35-44,Bachelor’s degree,24,Bulgaria,BGN	Bulgarian lev,Bash/Shell (all shells);Go;JavaScript;Python;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
35-44,Primary/elementary school,28,USA,USD	United States dollar,Assembly;Bash/Shell (all shells);C#;Go;JavaScript;Python;Rust;TypeScript,Retail and Consumer Services,"10,000 or more employees"
25-34,Master’s degree,6,Russian Federation,RUB	Russian ruble,Python,"Internet, Telecomm or Information Services","10,000 or more employees"
35-44,Master’s degree,25,Ukraine,USD	United States dollar,C#;HTML/CSS;JavaScript;SQL;TypeScript,Software Development,20 to 99 employees
25-34,Bachelor’s degree,8,USA,USD	United States dollar,Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL,"Internet, Telecomm or Information Services",100 to 499 employees
55-64,Attended college but no degree,39,Russian Federation,RUB	Russian ruble,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Software Development,500 to 999 employees
25-34,Bachelor’s degree,8,Brazil,BRL	Brazilian real,Julia;Python;R;SQL,Energy,20 to 99 employees
25-34,Bachelor’s degree,13,Bangladesh,USD	United States dollar,JavaScript;Python;SQL;TypeScript,Media & Advertising Services,10 to 19 employees
35-44,Master’s degree,20,Poland,EUR European Euro,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;MATLAB;Perl;PHP;PowerShell;Python;SQL;TypeScript,Software Development,"1,000 to 4,999 employees"
45-54,Master’s degree,40,Germany,EUR European Euro,Bash/Shell (all shells);C;C++;Python,Software Development,"5,000 to 9,999 employees"
25-34,Master’s degree,10,India,INR	Indian rupee,Go;JavaScript;Python;SQL;TypeScript,Media & Advertising Services,100 to 499 employees
35-44,Bachelor’s degree,15,Thailand,USD	United States dollar,Bash/Shell (all shells);Erlang;Haskell;HTML/CSS;JavaScript;Lua;OCaml;PHP;SQL;TypeScript,Software Development,10 to 19 employees
35-44,Bachelor’s degree,26,Canada,CAD	Canadian dollar,Bash/Shell (all shells);C#;HTML/CSS;Python;Rust;SQL,Software Development,20 to 99 employees
35-44,Bachelor’s degree,16,Netherlands,EUR European Euro,Python;SQL,Fintech,500 to 999 employees
25-34,Bachelor’s degree,5,Turkey,TRY	Turkish lira,C;Java;Kotlin,Software Development,2 to 9 employees
25-34,Bachelor’s degree,15,USA,USD	United States dollar,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Software Development,2 to 9 employees
45-54,Professional degree,30,USA,USD	United States dollar,Bash/Shell (all shells);Java;JavaScript;SQL;TypeScript,Software Development,20 to 99 employees
45-54,Master’s degree,43,UK and Northern Ireland,GBP	Pound sterling,Java;JavaScript;SQL,Fintech,20 to 99 employees
35-44,Secondary school,28,Germany,EUR European Euro,Bash/Shell (all shells);Go;Java;JavaScript;Kotlin;Ruby;Rust;SQL;TypeScript,Software Development,20 to 99 employees
45-54,Attended college but no degree,32,Russian Federation,RUB	Russian ruble,Ada;Assembly;C;C#;C++;Dart;Delphi;Go;Java;Prolog;Python;Rust;SQL;Visual Basic (.Net),Software Development,20 to 99 employees
35-44,Attended college but no degree,27,USA,USD	United States dollar,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL,Software Development,100 to 499 employees
25-34,Master’s degree,19,Mexico,MXN	Mexican peso,C#;Python,Manufacturing,100 to 499 employees
35-44,Bachelor’s degree,25,USA,USD	United States dollar,HTML/CSS;Lua;MATLAB;Python;R;SQL,Higher Education,100 to 499 employees
25-34,Bachelor’s degree,10,Czech Republic,CZK	Czech koruna,C++;HTML/CSS;JavaScript;TypeScript,Software Development,20 to 99 employees
25-34,Master’s degree,11,Slovakia,EUR European Euro,Bash/Shell (all shells);JavaScript;PowerShell;Python;SQL,Software Development,"10,000 or more employees"
25-34,Bachelor’s degree,16,Switzerland,CHF	Swiss franc,Bash/Shell (all shells);C;C++;Go;Java;JavaScript;PowerShell;Rust;TypeScript,Software Development,2 to 9 employees
25-34,Bachelor’s degree,30,Israel,ILS	Israeli new shekel,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python,Software Development,2 to 9 employees
25-34,Bachelor’s degree,10,Netherlands,EUR European Euro,C#;HTML/CSS;Java;JavaScript;SQL,"Transportation, or Supply Chain",20 to 99 employees
25-34,Bachelor’s degree,10,Hungary,HUF	Hungarian forint,Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,Software Development,100 to 499 employees
25-34,Master’s degree,9,Ukraine,UAH	Ukrainian hryvnia,SQL;TypeScript,Software Development,100 to 499 employees
25-34,Master’s degree,15,Portugal,EUR European Euro,Kotlin;Ruby;Swift,Banking/Financial Services,100 to 499 employees
35-44,Master’s degree,19,Canada,CAD	Canadian dollar,Assembly;C#;C++;Java;PowerShell;SQL,Software Development,100 to 499 employees
25-34,Bachelor’s degree,8,"Iran, Islamic Republic of...",IRR	Iranian rial,Bash/Shell (all shells);C;C++;Java;PowerShell;Python;SQL,Software Development,100 to 499 employees
55-64,Master’s degree,38,USA,USD	United States dollar,Ada;Bash/Shell (all shells);C;C++;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,Software Development,2 to 9 employees
18-24,Bachelor’s degree,10,Netherlands,EUR European Euro,Bash/Shell (all shells);JavaScript;Kotlin;Python,Energy,10 to 19 employees
45-54,Bachelor’s degree,25,Turkey,TRY	Turkish lira,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL,Software Development,20 to 99 employees
25-34,Bachelor’s degree,15,USA,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;PHP;SQL;TypeScript,Higher Education,500 to 999 employees
45-54,Bachelor’s degree,35,Ukraine,USD	United States dollar,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Healthcare,Self-employed
35-44,Attended college but no degree,12,USA,USD	United States dollar,C#;C++;SQL,Software Development,"1,000 to 4,999 employees"
18-24,Secondary school,8,Latvia,EUR European Euro,C++;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Fintech,20 to 99 employees
25-34,Bachelor’s degree,20,Poland,PLN	Polish zloty,Bash/Shell (all shells);C;Java;Perl;Python;SQL,Banking/Financial Services,100 to 499 employees
35-44,Attended college but no degree,22,Argentina,USD	United States dollar,Bash/Shell (all shells);C;C#;C++;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Objective-C;Perl;PHP;Python;Rust;SQL;Swift;Visual Basic (.Net),Software Development,20 to 99 employees
25-34,Bachelor’s degree,16,Brazil,USD	United States dollar,HTML/CSS;JavaScript;Ruby;SQL,"Transportation, or Supply Chain",20 to 99 employees
35-44,Bachelor’s degree,22,UK and Northern Ireland,GBP	Pound sterling,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;VBA;Visual Basic (.Net),Software Development,"1,000 to 4,999 employees"
25-34,Bachelor’s degree,8,India,INR	Indian rupee,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Software Development,"10,000 or more employees"
18-24,Bachelor’s degree,6,Peru,PEN	Peruvian sol,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Software Development,2 to 9 employees
25-34,Attended college but no degree,11,USA,USD	United States dollar,HTML/CSS;JavaScript;PowerShell;Ruby;SQL;TypeScript,Government,100 to 499 employees
45-54,Bachelor’s degree,44,Brazil,BRL	Brazilian real,C#;Delphi;HTML/CSS;SQL;VBA,Software Development,100 to 499 employees
35-44,Master’s degree,15,USA,USD	United States dollar,C++;Java;JavaScript;Kotlin;Python;TypeScript,Computer Systems Design and Services,"10,000 or more employees"
